query,duration[s],solution,solution_specific,version,success
create_new_column,3.1713822446763515,pandas,numpy_backend,2.2.2,true
create_new_column,4.939505112667878,pandas,pyarrow_backend,2.2.2,true
create_new_column,1.746530311803023,polars,12_threads,0.20.26,true
create_new_column,2.581636986384789,polars,1_threads,0.20.26,true
create_new_column,1.8281974171598752,polars,64_threads,0.20.26,true
filtering,4.178080415974061,pandas,numpy_backend,2.2.2,true
filtering,7.478982696930568,pandas,pyarrow_backend,2.2.2,true
filtering,1.7591346688568592,polars,12_threads,0.20.26,true
filtering,2.4163126051425934,polars,1_threads,0.20.26,true
filtering,1.7788716567059357,polars,64_threads,0.20.26,true
groupby_and_sum,9.388610468556484,pandas,numpy_backend,2.2.2,true
groupby_and_sum,8.714999791234732,pandas,pyarrow_backend,2.2.2,true
groupby_and_sum,1.125512182712555,polars,12_threads,0.20.26,true
groupby_and_sum,8.235959829141697,polars,1_threads,0.20.26,true
groupby_and_sum,0.712378840893507,polars,64_threads,0.20.26,true
join,15.662981490294138,pandas,numpy_backend,2.2.2,true
join,17.936175958563883,pandas,pyarrow_backend,2.2.2,true
join,2.0223049794634185,polars,12_threads,0.20.26,true
join,7.919394843280315,polars,1_threads,0.20.26,true
join,1.9282797314226627,polars,64_threads,0.20.26,true
pivot,26.792240142822266,pandas,numpy_backend,2.2.2,true
pivot,23.45045201232036,pandas,pyarrow_backend,2.2.2,true
pivot,5.540076784789562,polars,12_threads,0.20.26,true
pivot,41.043770826111235,polars,1_threads,0.20.26,true
pivot,4.180472411215305,polars,64_threads,0.20.26,true
read_csv,120.36432969818513,pandas,numpy_backend,2.2.2,true
read_csv,4.636171152194341,pandas,pyarrow_backend,2.2.2,true
read_csv,4.443008027970791,polars,12_threads,0.20.26,true
read_csv,45.77406934276223,polars,1_threads,0.20.26,true
read_csv,2.004279331614574,polars,64_threads,0.20.26,true
read_parquet,7.53659117097656,pandas,numpy_backend,2.2.2,true
read_parquet,1.9139774764577548,pandas,pyarrow_backend,2.2.2,true
read_parquet,2.6413079587121806,polars,12_threads,0.20.26,true
read_parquet,17.23141100133459,polars,1_threads,0.20.26,true
read_parquet,1.8983494825661182,polars,64_threads,0.20.26,true
rolling,34.17175417393446,pandas,numpy_backend,2.2.2,true
rolling,28.379587805519503,pandas,pyarrow_backend,2.2.2,true
rolling,4.733466866115729,polars,12_threads,0.20.26,true
rolling,9.680325586348772,polars,1_threads,0.20.26,true
rolling,4.457167774438858,polars,64_threads,0.20.26,true
sorting,144.7285849004984,pandas,numpy_backend,2.2.2,true
sorting,119.31840963040788,pandas,pyarrow_backend,2.2.2,true
sorting,10.039364619801441,polars,12_threads,0.20.26,true
sorting,54.40409572670857,polars,1_threads,0.20.26,true
sorting,8.051556766033173,polars,64_threads,0.20.26,true
unique,4.13579956193765,pandas,numpy_backend,2.2.2,true
unique,1.4929040148854256,pandas,pyarrow_backend,2.2.2,true
unique,1.446212566147248,polars,12_threads,0.20.26,true
unique,1.2035282564659913,polars,1_threads,0.20.26,true
unique,1.2315169237554073,polars,64_threads,0.20.26,true
write_csv,574.2837070301175,pandas,numpy_backend,2.2.2,true
write_csv,1032.8019714839756,pandas,pyarrow_backend,2.2.2,true
write_csv,33.14159011468291,polars,12_threads,0.20.26,true
write_csv,64.44742795825005,polars,1_threads,0.20.26,true
write_csv,15.05235492438078,polars,64_threads,0.20.26,true
write_parquet,41.25695129856467,pandas,numpy_backend,2.2.2,true
write_parquet,32.61828714981675,pandas,pyarrow_backend,2.2.2,true
write_parquet,39.59507450833917,polars,12_threads,0.20.26,true
write_parquet,50.920490492135286,polars,1_threads,0.20.26,true
write_parquet,39.836686842143536,polars,64_threads,0.20.26,true
